address;name;type;postcode;phone;email;educational;topics;languages;lat;lon
Arndtstr. 42;Veda-Lila-Kindergarten e.V.;Eltern-Initiativ-Kindertagesstätte;10965;0306947166;AntjeGubernus@gmx.de;Sonstiges;;;52.4881549;13.396032
Bergmannstr. 68;EiKita Löwenherz & Spunk e.V.;Eltern-Initiativ-Kindertagesstätte;10961;;;Montessori-Pädagogik, Situationsansatz;;;52.48932;13.40042
Am Lokdepot 16 -18;TÄKS e. V.;Kindertagesstätte;10965;017663225326;lok18@taeks.de;;;;52.48551;13.3736527
Blücherstr. 46 -47;Arbeiterwohlfahrt Kreisverband Berlin-Mitte e.V.;Kindertagesstätte;10961;030251 34 42;europakita@awo-mitte.de;bilingual (deutsch-türkisch), Situationsansatz;;;52.4916552;13.404509
Schwiebusser Str. 5;Kindergärten City;Kindertagesstätte;10965;03050586541;Kita.Schwiebusserstr5@ba-fk.berlin.de;Situationsansatz;Gesundheit;;52.4858586;13.3931086
Nostitzstr. 25;Kirschkern e.V.;Eltern-Initiativ-Kindertagesstätte;10965;694 33 90;;Situationsansatz;;;52.4853765;13.3989037
Großbeerenstr. 56C;Kulturschlüssel e.V.;Eltern-Initiativ-Kindertagesstätte;10965;7889 6675;info@kulturschluessel.de;;;;52.49216000000001;13.38408
Riemannstr. 17;Die Panzerknacker e.V.;Eltern-Initiativ-Kindertagesstätte;10961;0306928864;;;;;52.49028999999999;13.39149
Schwiebusser Str. 6;Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord;Kindertagesstätte;10965;0306917231;kita1@heiligkreuzpassion.de;;;;52.4858622;13.3924406
Kreuzbergstr. 43;Macht nix e.V.;Eltern-Initiativ-Kindertagesstätte;10965;0307895 0708;machtnixev@aol.de;Situationsansatz;;;52.48842;13.3752
Willibald-Alexis-Str. 34;EKT Combo e.V.;Eltern-Initiativ-Kindertagesstätte;10965;692 88 82;;;;;52.4874555;13.3936478
Friesenstr. 4;Nachbarschaftshaus Urbanstr. e.V.;Kindertagesstätte;10965;0306946890;tausendf@nachbarschaftshaus.de;;;;52.4884286;13.3944223
Möckernstr. 76;Krümelmonster e.V.;Eltern-Initiativ-Kindertagesstätte;10965;030786 24 62;traeger@ekt-kruemelmonster.de;Situationsansatz;;;52.49027;13.37984
Dudenstr. 17;Aalem el Atfal - Welt der Kinder e. V.;Eltern-Initiativ-Kindertagesstätte;10965;03065836735;vorstand@welt-der-kinder-berlin.de;Reggio-Pädagogik, Situationsansatz;Interkulturelle Pädagogik, Körper und Bewegung, Natur- und Umweltpädagogik;deutsch - arabisch;52.4848148;13.3826377
Bergmannstr. 98;Eltern-Initiativ-Kindertagesstätte Girotondo e. V.;Eltern-Initiativ-Kindertagesstätte;10961;03069815328;ekt-girotondo@gmx.de;Reggio-Pädagogik;Interkulturelle Pädagogik;deutsch - italienisch;52.4895359;13.3908554
Kreuzbergstr. 47;Diakonisches Werk Berlin Stadtmitte e.V.;Kindertagesstätte;10965;0307899 0740;kita.faros@diakonie-stadtmitte.de;;;;52.489315;13.3754236
Solmsstr. 1;Arbeiterwohlfahrt Berlin Spree-Wuhle e.V.;Kindertagesstätte;10961;03036447001/02;lingulino@awo-spree-wuhle.de;Situationsansatz;Integration von Kindern mit Behinderung, Interkulturelle Pädagogik;;52.4941138;13.3933726
Heimstr. 16;Integrations-Kinderladen Wildblume e.V.;Eltern-Initiativ-Kindertagesstätte;10965;030695 64451;kila-wildblume@gmx.de;Integration von Kindern mit Behinderung;;;52.487351;13.3967369
Bergmannstr. 12;TIGERENTE e.V.;Eltern-Initiativ-Kindertagesstätte;10961;030693 04 68;;;;;52.48915;13.3907
Johanniterstr. 17;VEREIN KINDERVILLA WALDEMAR e. V.;Eltern-Initiativ-Kindertagesstätte;10961;0306177 90 913;villa.waldemar@web.de;Ansatz von Emmi Pikler, Situationsansatz;Ästhetische Bildung (Musik und Kunst), Gesundheit, Integration von Kindern mit Behinderung, Interkulturelle Pädagogik, Körper und Bewegung, Natur- und Umweltpädagogik;deutsch - kurdisch, deutsch - türkisch;52.49604;13.4001867
Möckernstr. 139;Humanistischer Verband Deutschlands,Landesverband Berlin-Brandenburg e. V.;Kindertagesstätte;10965;030;;;;;52.4853765;13.3989037
Heimstr. 15;Zippel und Zappel e.V.;Eltern-Initiativ-Kindertagesstätte;10965;694 55 00;;Situationsansatz;;;52.4872208;13.3967205
Kreuzbergstr. 45;Macht nix e.V.;Eltern-Initiativ-Kindertagesstätte;10965;030785 91 44;machtnixev@aol.de;Situationsansatz;;;52.4889508;13.3745578
Baerwaldstr. 18;Kindergärten City;Kindertagesstätte;10961;03032598128;Kita.Baerwaldstr18@ba-fk.berlin.de;Situationsansatz;Interkulturelle Pädagogik;;52.49174739999999;13.4011645
Katzbachstr. 29;Neues aus Kreuzberg e. V.;Eltern-Initiativ-Kindertagesstätte;10965;03078717275;;;;;52.48978;13.37706
Fidicinstr. 32;Kirschkern e.V.;Eltern-Initiativ-Kindertagesstätte;10965;693 71 36;;Situationsansatz;;;52.48699999999999;13.39129
Bergmannstr. 3;Krümelmonster e.V.;Eltern-Initiativ-Kindertagesstätte;10961;0306920 97 17;traeger@ekt-kruemelmonster.de;Situationsansatz;;;52.4899254;13.388043
Möckernstr. 113;Krümelmonster e.V.;Eltern-Initiativ-Kindertagesstätte;10965;03022022455;traeger@ekt-kruemelmonster.de;;;;52.4853765;13.3989037
Mehringdamm 116;Kindergärten City;Kindertagesstätte;10965;03070509191;Kita.Mehringdamm116@ba-fk.berlin.de;Sonstiges;Ästhetische Bildung (Musik und Kunst), Körper und Bewegung, Natur- und Umweltpädagogik;;52.4864322;13.3860467
Monumentenstr. 3;Stadtteilverein Schöneberg e.V.;Kindertagesstätte;10965;030782 05 58;info@stadtteilvereinschoeneberg.de;Interkulturelle Pädagogik, Situationsansatz;Interkulturelle Pädagogik, Körper und Bewegung;;52.48778540000001;13.3749708
Methfesselstr. 14;Kindergärten City;Kindertagesstätte;10965;03050587271;Kita.Methfesselstr14@ba-fk.berlin.de;Sonstiges;Gesundheit;;52.4887297;13.3851404
Großbeerenstr. 13;Kinderladen TROMPETE e.V.;Eltern-Initiativ-Kindertagesstätte;10965;0176/62914877;;;;;52.4853765;13.3989037
Fidicinstr. 10;Integrations-Kinderladen Wildblume e.V.;Eltern-Initiativ-Kindertagesstätte;10965;03069503682;kila-wildbllume@gmx.de;Integration von Kindern mit Behinderung;;;52.48672;13.39045
Columbiadamm 10 -11;Edusation - gemeinnützige Gesellschaft für Integration und Sprachförderung mbH;Kindertagesstätte;10965;030;;;;;52.484007;13.390337
Yorckstr. 88H;Kinderladen LUFTABONG e. V.;Eltern-Initiativ-Kindertagesstätte;10965;030786 84 30;info@kinderladen-luftabong.de;Montessori-Pädagogik;;;52.49256;13.38645
Jüterboger Str. 8;FINO und FLEUR e.V.;Eltern-Initiativ-Kindertagesstätte;10965;0300306926284;fino-fleur@web.de;Integration von Kindern mit Behinderung, Situationsansatz;Gesundheit, Körper und Bewegung, Natur- und Umweltpädagogik;;52.4864587;13.3956265
Monumentenstr. 13A;Waldorf-Südwest gemeinnützige GmbH;Kindertagesstätte;10965;0307009411-0;verwaltung@johannes-schule-berlin.de;;;;52.48778540000001;13.3749708
Heimstr. 7;Krötenpfuhl e. V.;Eltern-Initiativ-Kindertagesstätte;10965;691 16 56;;;;;52.487607;13.3967839
Monumentenstr. 16;Monumentenbande e. V.;Eltern-Initiativ-Kindertagesstätte;10965;0307866868;post@monumentenbande.de;;;;52.48771439999999;13.3743045
Hagelberger Str. 52;Zinnober e.V.;Eltern-Initiativ-Kindertagesstätte;10965;030785 92 65;mail@kita-zinnober.de;;;;52.4914047;13.3850954
Mittenwalder Str. 47;Springteufel e. V.;Eltern-Initiativ-Kindertagesstätte;10961;0306938943/6949167;kontakt@springteufel-berlin.de;Situationsansatz;;;52.49236;13.39712
Solmsstr. 22;fidicinis e.V.;Eltern-Initiativ-Kindertagesstätte;10961;01799107057;fidicinis@live.de;Ansatz von Emmi Pikler, Situationsansatz;;;52.49066699999999;13.3923845
Bergmannstr. 5;FINO und FLEUR e.V.;Kindertagesstätte;10961;0306926284;fino-fleur@web.de;Situationsansatz;Gesundheit, Körper und Bewegung, Natur- und Umweltpädagogik;;52.4898649;13.388489
Fidicinstr. 23;Integrations-Kinderladen Wildblume e.V.;Eltern-Initiativ-Kindertagesstätte;10965;0306956 4584;kila-wildblume@gmx.de;bilingual (deutsch-englisch), Integration von Kindern mit Behinderung;;deutsch - englisch;52.4865799;13.3938448
Fürbringerstr. 27;Guten Tag Kinder e.V.;Eltern-Initiativ-Kindertagesstätte;10961;0306913932;;;;;52.49323159999999;13.3960285
Katzbachstr. 19;KATZBACH-PIRATEN e.V.;Eltern-Initiativ-Kindertagesstätte;10965;030785 55 40;vorstand@katzbachpiraten.de;;;;52.4870704;13.3766466
Dieffenbachstr. 13;TÄKS e. V.;Eltern-Initiativ-Kindertagesstätte;10967;030694 89 92;kiezpiraten@taeks.de;;;;52.4929472;13.4152068
Fontanepromenade 10;Ingrids Kindergarten e.V.;Kindertagesstätte;10967;03069004577;;;;;52.49128;13.40849
Fontanepromenade 14;Diakonisches Werk Berlin Stadtmitte e.V.;Kindertagesstätte;10967;0306273 5030;;;;;52.49214;13.40745
Urbanstr. 62;Kindergärten City;Kindertagesstätte;10967;03081855920/30;Kita.Urbanstr62@ba-fk.berlin.de;Situationsansatz;Interkulturelle Pädagogik;;52.48961;13.41998
Urbanstr. 21;Nachbarschaftshaus Urbanstr. e.V.;Kindertagesstätte;10967;030690497-14;spielhaus@nachbarschaftshaus.de;;;;52.4909261;13.4161406
Hasenheide 56;Kirschkern e.V.;Kindertagesstätte;10967;0306931995;;;;;52.48954999999999;13.40975
Planufer 81;Kindergärten City;Kindertagesstätte;10967;03050586501;Kita.Planufer81@ba-fk.berlin.de;Situationsansatz;Integration von Kindern mit Behinderung, Natur- und Umweltpädagogik;;52.4946966;13.4127384
Graefestr. 84;Der kleine Horrorladen e.V.;Eltern-Initiativ-Kindertagesstätte;10967;030-692 93 32;kerstin.herrmann@berlin.de;Montessori-Pädagogik;Ästhetische Bildung (Musik und Kunst), Gesundheit, Interkulturelle Pädagogik, Körper und Bewegung, Natur- und Umweltpädagogik;deutsch - türkisch;52.4942135;13.418661
Böckhstr. 12;Frauenverein Cemiyet-i Nisa Verein zur Förderung der Familie und Jugend e.V.;Kindertagesstätte;10967;0306162 5913;ifrauenverein@t-online.de;Ästhetische Bildung (Musik und Kunst), Körper und Bewegung, Natur-und Umweltpädagogik;;;52.49375;13.41758
Grimmstr. 1A;Eikita Optimisten e. V.;Eltern-Initiativ-Kindertagesstätte;10967;0170 4983820;;Situationsansatz;;;52.49459;13.41412
Jahnstr. 7;Kinderladen Knulp e.V.;Eltern-Initiativ-Kindertagesstätte;10967;692 13 23;;;;;52.4884936;13.419504
Graefestr. 39;Alles Banane e.V.;Eltern-Initiativ-Kindertagesstätte;10967;0306941812;allesbanane.ev@googlemail.com;;;;52.4893279;13.4149059
Böckhstr. 21;Pittiplatsch e.V.;Eltern-Initiativ-Kindertagesstätte;10967;030691 95 80;EKT-Pittiplatsch@gmx.de;;;;52.4934093;13.4197252
Boppstr. 9;Kinderladen Kreuzbären e.V.;Eltern-Initiativ-Kindertagesstätte;10967;0306943598;b.kruft@web.de;Situationsansatz;;;52.49046509999999;13.4226582
Fichtestr. 19A;Kinder Werk Stadt e.V.;Eltern-Initiativ-Kindertagesstätte;10967;03061671911;kinderwerkstadt@gmail.com;Montessori-Pädagogik, Situationsansatz;;;52.48882;13.41395
Böckhstr. 45;Knatterpampe e.V.;Eltern-Initiativ-Kindertagesstätte;10967;030692 55 55;knatterpampe@gmail.com;Montessori-Pädagogik;;;52.494177;13.4177944
Boppstr. 4;Frauenverein Cemiyet-i Nisa Verein zur Förderung der Familie und Jugend e.V.;Kindertagesstätte;10967;691 81 02;;bilingual (deutsch-türkisch), Körper und Bewegung, Natur-und Umweltpädagogik;;;52.4909676;13.4214127
Planufer 84;Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord;Kindertagesstätte;10967;030691 92 68;melanchthon-kita@evkvbmn.de;;;;52.4949826;13.4145966
Graefestr. 43;EKT Sonnenblümchen e. V.;Eltern-Initiativ-Kindertagesstätte;10967;03025942790;ekt-sonnenbluemchen@gmx.de;Situationsansatz;Religionspädagogik;deutsch - arabisch, deutsch - türkisch;52.4886834;13.4144021
Jahnstr. 14;Frauenverein Cemiyet-i Nisa Verein zur Förderung der Familie und Jugend e.V.;Kindertagesstätte;10967;691 72 39;;Ästhetische Bildung (Musik und Kunst), Körper und Bewegung, Natur-und Umweltpädagogik;;;52.488514;13.4195066
Hasenheide 51;Herzlichtgarten e.V.;Eltern-Initiativ-Kindertagesstätte;10967;0306949805;;;;;52.48938;13.41054
Graefestr. 6;Knatterbande e. V.;Eltern-Initiativ-Kindertagesstätte;10967;0306981 7780;info@knatterbande.de;Montessori-Pädagogik;;;52.49484;13.41837
Planufer 92;EKT Räuberhöhle e.V.;Eltern-Initiativ-Kindertagesstätte;10967;0306915016;reuberhoehle@web.de;Situationsansatz;;;52.4952459;13.4172501
Böckhstr. 48;Bunte Mischung e.V.;Eltern-Initiativ-Kindertagesstätte;10967;03074073555;ekt.buntemischung@gmail.com;Situationsansatz;Interkulturelle Pädagogik;;52.49439;13.41725
Planufer 77;Kindergärten City;Kindertagesstätte;10967;03050586341;Kita.Planufer77@ba-fk.berlin.de;Situationsansatz;Interkulturelle Pädagogik;;52.4945793;13.4114696
Dieffenbachstr. 27;Spreepiraten e. V.;Eltern-Initiativ-Kindertagesstätte;10967;0306939468;Spreepiraten27@gmail.com;;;;52.49221559999999;13.4176673
Böckhstr. 11;Frauenverein Cemiyet-i Nisa Verein zur Förderung der Familie und Jugend e.V.;Kindertagesstätte;10967;69 48233;;Ästhetische Bildung (Musik und Kunst), Körper und Bewegung;;;52.49371;13.41724
Urbanstr. 137;TÄKS e. V.;Kindertagesstätte;10967;0300176 84022731;kiezpiraten@taeks.de;;;;52.4918258;13.4139888
Dieffenbachstr. 76 77;Minifee e. V.;Eltern-Initiativ-Kindertagesstätte;10967;0306162 0677;;;;;52.49425;13.41119
Urbanstr. 48K;Kindergärten City;Kindertagesstätte;10967;03050586560;Kita.Urbanstr48k@ba-fk.berlin.de;Situationsansatz, Sonstiges;Integration von Kindern mit Behinderung;;52.48882;13.41793
Markgrafenstr. 15A;VEREIN KINDERVILLA WALDEMAR e. V.;Eltern-Initiativ-Kindertagesstätte;10969;0302594  2951;villa.waldemar@web.de;Ansatz von Emmi Pikler, Situationsansatz;Ästhetische Bildung (Musik und Kunst), Gesundheit, Integration von Kindern mit Behinderung, Interkulturelle Pädagogik, Körper und Bewegung, Natur- und Umweltpädagogik;deutsch - kurdisch, deutsch - türkisch;52.50586999999999;13.39513
Böcklerstr. 8;Eltern - Initiativ - Kindertagesstätte Siebenschläfer e. V.;Eltern-Initiativ-Kindertagesstätte;10969;0306146045;kita.siebenschlaefer@web.de;Integration von Kindern mit Behinderung, Montessori-Pädagogik;Integration von Kindern mit Behinderung;deutsch - arabisch, deutsch - türkisch;52.4967;13.41032
Prinzenstr. 85D;Wildfang Kinder gGmbH;Kindertagesstätte;10969;03061657373;info@wildfang-kindergarten.de;Sonstiges;;;52.502686;13.4095928
Hedemannstr. 7;Bilingua gGmbH;Kindertagesstätte;10969;03066774910;kita.bienchen@googlemail.com;bilingual (deutsch-russisch);Ästhetische Bildung (Musik und Kunst), Interkulturelle Pädagogik, Natur- und Umweltpädagogik;deutsch - russisch;52.5027059;13.401651
Alexandrinenstr. 1B;Zappergeck - Gemeinsame Betreuungund Förderung behinderter und nichtbehinderter Kinder e. V.;Eltern-Initiativ-Kindertagesstätte;10969;030615 62 48;zappergeck-ev@web.de;Situationsansatz;;;52.49899;13.40039
Wassertorstr. 21A;Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord;Kindertagesstätte;10969;030614 23 00;st.simeon-kita@evkvbmn.de;;;;52.50053459999999;13.4064671
Alte Jakobstr. 172;KOTTI - Nachbarschafts- und Gemeinwesenverein am Kottbusser Tor e.V.;Kindertagesstätte;10969;030616 19 85;kotti.kita-altejakob@online.de;Montessori-Pädagogik;;;52.5009804;13.397767
Lobeckstr. 11;Kindergärten City;Kindertagesstätte;10969;03030648793;Kita.Lobeckstr11@ba-fk.berlin.de;Sonstiges;Interkulturelle Pädagogik;;52.5002875;13.4047789
Markgrafenstr. 80;INA.KINDER.GARTEN gGmbH;Kindertagesstätte;10969;030818 87 961;markgrafenstrasse@inakindergarten.de;Situationsansatz;;;52.50429;13.39456
Stallschreiberstr. 13;Orte für Kinder GmbH;Kindertagesstätte;10969;0306953 99 99-0;kita@ortefuerkinder.de;;;;52.50609;13.40872
Ritterstr. 11;OUTLAW gemeinnützige Gesellschaft für Kinder- und Jugendhilfe mbH;Kindertagesstätte;10969;03061101816;kita-ritterstr@outlaw-ggmbh.de;;;;52.5011962;13.4111483
Markgrafenstr. 20;PME Familienservice gGmbH - Zweigniederlassung Berlin;Kindertagesstätte;10969;03025898744;wolkenzwerge@familienservice.de;;;;52.507641;13.394413
Ritterstr. 36;Nestwärme - Verein zur Betreuung u. Beratung von AIDS-betroffenen Familien, Kindern u. Jugendlichen e.V.;Kindertagesstätte;10969;03024729098;ritterstrasse@nestwaerme-berlin.de;;;;52.5032413;13.4046445
Sebastianstr. 23;GFJ - gemeinnützige Gesellschaft für Familien- und Jugendhilfe mbH;Kindertagesstätte;10969;0302792210;pusteblume23@gmx.net;Situationsansatz;Ästhetische Bildung (Musik und Kunst), Körper und Bewegung;;52.5027059;13.401651
Zossener Str. 22;Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord;Kindertagesstätte;10969;0306912499;arche@heiligkreuzpassion.de;;;;52.5027059;13.401651
Kochstr. 8;Kindergärten City;Kindertagesstätte;10969;03034620291;Kita.Kochstr8@ba-fk.berlin.de;Situationsansatz, Sonstiges;Gesundheit, Körper und Bewegung, Natur- und Umweltpädagogik;;52.50579;13.38782
Alte Jakobstr. 135 -136;Kita Milchstraße UG(haftungsbeschränkt);Kindertagesstätte;10969;030251 55 32;kita.milchstrasse@web.de;;;;52.5021987;13.3978245
Markgrafenstr. 8;EKT-Wohnhof e.V.;Eltern-Initiativ-Kindertagesstätte;10969;251 03 16;;;;;52.50454;13.39532
Alte Jakobstr. 10;Waldorfkindergarten Kreuzberg e.V.;Kindertagesstätte;10969;030614 30 87;wakigakreuzberg@web.de;;;;52.50384;13.39859
Friedrichstr. 129F;Kinder- und Jugend gGmbH der Volkssolidarität Berlin;Kindertagesstätte;10969;0302824385;kita-pelikan-mitte@volkssolidaritaet.de;Situationsansatz;;;52.5034861;13.3910391
Sebastianstr. 22;GFJ - gemeinnützige Gesellschaft für Familien- und Jugendhilfe mbH;Kindertagesstätte;10969;0302792668;villamurkelmeier@gmx.de;Situationsansatz;Körper und Bewegung, Natur- und Umweltpädagogik;;52.5027059;13.401651
Zossener Str. 36;Kinderladen Grüffelo e.V.;Kindertagesstätte;10969;0306942457;kinderladen@gmail.com;Situationsansatz;;;52.5027059;13.401651
Cuvrystr. 39;Krümelkinder,Görlitzer Str. e.V.;Eltern-Initiativ-Kindertagesstätte;10997;0306128 8254;kruemelkinder@gmx.de;Reggio-Pädagogik;;;52.49744500000001;13.4437182
Muskauer Str. 33;Kinderladen Muko e.V.;Eltern-Initiativ-Kindertagesstätte;10997;030618 68 24;jfzwick@web.de;Ästhetische Bildung (Musik und Kunst);Ästhetische Bildung (Musik und Kunst), Integration von Kindern mit Behinderung, Körper und Bewegung;;52.5031121;13.4267713
Köpenicker Str. 174;Forum Kreuzberg e.V.;Kindertagesstätte;10997;030611089-13;kita@forumkreuzberg.de;Waldorfpädagogik;;deutsch - italienisch;52.5042327;13.435206
Zeughofstr. 1;Fröbel Bildung und Erziehung gGmbH;Kindertagesstätte;10997;030;;;;;52.5028689;13.4367203
Muskauer Str. 55;Schippe und Eimer e.V.;Eltern-Initiativ-Kindertagesstätte;10997;0306165 7396;schippe_eimerdino@yahoo.de;Situationsansatz;;;52.50041;13.4335642
Cuvrystr. 21;Kinderladen Cuvrybande e. V.;Kindertagesstätte;10997;0306115156;;;;;52.49766100000001;13.4435816
Eisenbahnstr. 21;Forum Kreuzberg e.V.;Kindertagesstätte;10997;030611089-13;kita@forumkreuzberg.de;Waldorfpädagogik;;;52.5040006;13.4345971
Muskauer Str. 11A;Bessere Zukunft für Kinder e.V.;Eltern-Initiativ-Kindertagesstätte;10997;0306186847;kinderladen@besserezukunftkinder.de;Situationsansatz;;;52.50173400000001;13.4312466
Oppelner Str. 20;FürKinder e. V.;Kindertagesstätte;10997;03063962956;kilairgendwieanders@gmail.com;;;;52.49780519999999;13.438681
Pücklerstr. 12;Kindergärten City;Kindertagesstätte;10997;03022503061;Kita.Puecklerstr12@ba-fk.berlin.de;Situationsansatz;Interkulturelle Pädagogik;;52.5043;13.43212
Köpenicker Str. 45;abc city kids e. V.;Kindertagesstätte;10997;03024088849;kita.spreepferdchen@googlemail.com;Situationsansatz;Integration von Kindern mit Behinderung, Körper und Bewegung;;52.5044665;13.4349833
Wrangelstr. 31;Nestwärme - Verein zur Betreuung u. Beratung von AIDS-betroffenen Familien, Kindern u. Jugendlichen e.V.;Eltern-Initiativ-Kindertagesstätte;10997;03061076022;antje.lindstedt@nestwaerme-berlin.de;;;;52.50168;13.43399
Görlitzer Str. 33;Whistcastle of Eternia e.V.;Eltern-Initiativ-Kindertagesstätte;10997;03084423068;whistcastle@web.de;Situationsansatz;Körper und Bewegung;;52.49551;13.44454
Cuvrystr. 24;EKT MAUSEBLITZ e. V.;Eltern-Initiativ-Kindertagesstätte;10997;0306128 4767;ekt_mauseblitz@gmx.de;Situationsansatz;Integration von Kindern mit Behinderung, Körper und Bewegung, Natur- und Umweltpädagogik;;52.49698;13.4428
Köpenicker Str. 175;Forum Kreuzberg e.V.;Kindertagesstätte;10997;030611089-13;kita@forumkreuzberg.de;Waldorfpädagogik;;;52.5042329;13.4355319
Mariannenplatz 2;Eltern-Kindergruppe Kreuzberg-Nord e.V.;Kindertagesstätte;10997;0306145900;;;;;52.50403000000001;13.42444
Lübbener Str. 6;Kindergärten City;Kindertagesstätte;10997;03022503002;Kita.Luebbener6@ba-fk.berlin.de;Situationsansatz;Interkulturelle Pädagogik;;52.49874;13.43707
Falckensteinstr. 20;Rübezahl e.V.;Eltern-Initiativ-Kindertagesstätte;10997;0306186315;;;;;52.4971973;13.4410057
Muskauer Str. 43;Kinderladen Leierkasten e.V.;Eltern-Initiativ-Kindertagesstätte;10997;030612 69 41;kila.leierkasten@gmail.com;Situationsansatz;Integration von Kindern mit Behinderung, Interkulturelle Pädagogik;;52.5021426;13.4296867
Lausitzer Platz 2;Kinder aus Kreuzberg e.V.;Kindertagesstätte;10997;03081800480;kinderauskreuzberg@gmx.de;;;;52.50053;13.42945
Schlesische Str. 3;Kindergärten City;Kindertagesstätte;10997;03022503232;Kita.Schlesischestr3@ba-fk.berlin.de;Fröbel-Pädagogik, Sonstiges;Gesundheit, Körper und Bewegung;;52.500792;13.4425045
Taborstr. 21;Waldorfkinderladen Munkelrübe e. V.;Eltern-Initiativ-Kindertagesstätte;10997;030618 20 63;info@munkelruebe.de;Waldorf;;;52.49739;13.44671
Lübbener Str. 26;Kinder einer Erde e. V.;Eltern-Initiativ-Kindertagesstätte;10997;030611 80 14;kinder.einer.erde@hotmail.de;Interkulturelle Pädagogik, Situationsansatz;Integration von Kindern mit Behinderung, Interkulturelle Pädagogik;deutsch - arabisch, deutsch - italienisch, deutsch - kurdisch, deutsch - türkisch;52.4987647;13.4366332
Görlitzer Str. 32;P l u t o n i a   e. V.;Eltern-Initiativ-Kindertagesstätte;10997;618 49 63;;;;;52.49542;13.44473
Eisenbahnstr. 23;Forum Kreuzberg e.V.;Kindertagesstätte;10997;03061108913;kita@forumkreuzberg.de;;;;52.5010971;13.4313895
Wrangelstr. 63;Löwenhöhle e. V.;Eltern-Initiativ-Kindertagesstätte;10997;612 15 33;loewenhoehle@gmx.de;Situationsansatz;;;52.500873;13.4363776
Cuvrystr. 36;Ev. Kirchengemeinde Tabor;Kindertagesstätte;10997;0306953 4385;kita@evtaborgemeinde.de;;;;52.49693;13.44366
