LOR-Schlüssel (Bezirksregion);Bezeichnung (Bezirksregion);"Straftaten -insgesamt-";Raub;"Straßenraub,Handtaschenraub";"Körperverletzungen -insgesamt-";Gefährl. und schwere Körperverletzung;"Freiheitsberaubung, Nötigung, Bedrohung, Nachstellung";"Diebstahl -insgesamt-";Diebstahl von Kraftwagen;"Diebstahl an/aus Kfz";"Fahrraddiebstahl";"Wohnraumeinbruch";"Branddelikte -insgesamt-";"Brandstiftung";Sachbeschädigung -insgesamt-;Sachbeschädigung durch Graffiti;Rauschgiftdelikte;Kieztaten
114010;Friedrichsfelde Nord;9.116;79;55;1.037;232;482;3.781;220;890;549;79;79;12;1.195;335;220;2.805
114011;Friedrichsfelde Süd;7.308;58;40;685;151;296;3.362;112;465;379;126;61;22;855;170;108;1.739
115012;Rummelsburger Bucht;11.559;135;90;856;158;225;6.467;293;744;1.690;248;68;23;1.329;406;248;2.050
115013;Karlshorst;5.108;35;24;418;90;259;2.715;104;273;678;214;21;3;439;83;66;1.286
119900;Bezirk (Lb), nicht zuzuordnen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
120000;Reinickendorf;10.191;85;52;1.029;254;546;3.773;124;709;399;169;76;29;864;101;241;2.478
121001;Ost 1 - Reginhardstraße;9.584;77;53;1.168;271;640;3.812;123;907;285;183;102;49;928;70;292;3.201
121002;Ost 2 - Alt-Reinickendorf;13.664;106;58;1.175;256;606;5.169;183;1.186;442;201;95;29;1.124;175;259;3.202
122003;West 4 - Auguste-Viktoria-Allee;11.534;135;51;1.496;430;604;4.759;80;779;382;109;87;11;1.070;117;306;2.894
122004;West 1 - Tegel-Süd/Flughafensee;11.258;110;55;1.212;311;792;3.580;158;1.053;231;225;91;43;1.041;43;901;3.081
122005;West 5 - Tegel;16.006;199;154;1.635;434;623;8.445;36;370;777;90;36;18;894;108;217;3.125
124006;West 2 - Heiligensee/Konradshöhe;4.107;12;4;393;111;303;1.675;90;409;229;127;41;33;524;82;45;938
124007;Nord 1 - Frohnau/Hermsdorf;4.933;36;27;382;105;230;2.316;111;356;604;269;30;3;610;84;66;1.073
125008;West 3 - Borsigwalde/Freie Scholle;7.023;73;55;736;140;590;2.536;134;620;365;122;91;30;705;24;280;1.928
125009;Nord 2 - Waidmannslust/Wittenau/Lübars;17.053;78;53;1.174;298;528;4.234;137;727;447;221;47;28;882;255;224;2.668
126010;Rollbergesiedlung;9.215;76;65;757;151;552;3.753;162;606;292;151;76;22;941;32;130;2.401
126011;MV Nord;8.432;70;52;1.305;329;595;2.914;107;521;259;67;118;30;839;26;170;2.899
126012;MV Süd;6.320;80;43;790;130;623;1.841;65;420;196;167;43;14;609;29;130;2.131
129900;Bezirk (Rd), nicht zuzuordnen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
999900;Stadtgebiet Berlin, nicht zuzuordnen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
999999;Berlin (PKS gesamt);13.601;131;86;1.162;310;541;5.594;146;875;754;161;81;28;1.173;230;446;2.952
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;-;-;-;-;-;-;-;-;-;-;-;-;-
999999;Berlin (PKS gesamt);13.601;131;86;1.162;310;541;5.594;146;875;754;161;81;28;1.173;230;446;2.952
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
